"region_id","assessment_year_red_list","scientific_name","common_name","species_group","red_list_category"
13,2013,"Cygnus olor","Mute swan","Birds","LC - Least Concern"
13,2013,"Anser anser","Goose","Birds","LC - Least Concern"
13,2013,"Mergus merganser","Common merganser","Birds","LC - Least Concern"
13,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
13,2013,"Carcinus maenas","Common shore crab","Benthic Invertebrates","LC - Least Concern"
13,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
13,2013,"Saduria entomon","Crustacean","Benthic Invertebrates","LC - Least Concern"
13,2013,"Furcellaria lumbricalis","Red seaweed","Macrophytes","LC - Least Concern"
13,2013,"Fucus vesiculosus","Bladder wrack","Macrophytes","LC - Least Concern"
13,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
13,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
13,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
14,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
14,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
14,2013,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
14,2007,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
14,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
14,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
14,2013,"Perca fluviatilis","Perch","Fish and Lamprey","LC - Least Concern"
14,2007,"Perca fluviatilis","Perch","Fish and Lamprey","LC - Least Concern"
14,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
14,2013,"Halichoerus grypus","grey seal / gray seal","Mammals","LC - Least Concern"
14,2013,"Lutra lutra","European otter / Euraisan otter","Mammals","NT - Near Threatened"
14,2013,"Phoca vitulina vitulina","harbour seal / common seal","Mammals","LC - Least Concern"
14,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
14,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
14,2013,"Clangula hyemalis","Long-tailed duck","Birds","EN - Endangered"
14,2013,"Sterna hirundo","Common tern","Birds","LC - Least Concern"
14,2013,"Larus canus","Common gull","Birds","LC - Least Concern"
14,2013,"Gavia stellata","Red-throated diver","Birds","CR - Critically Endangered"
14,2013,"Gavia arctica","Black-throated diver","Birds","CR - Critically Endangered"
14,2013,"Cygnus olor","Mute swan","Birds","LC - Least Concern"
14,2013,"Anser anser","Goose","Birds","LC - Least Concern"
14,2013,"Mergus merganser","Common merganser","Birds","LC - Least Concern"
14,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
14,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
14,2013,"Saduria entomon","Crustacean","Benthic Invertebrates","LC - Least Concern"
14,2013,"Furcellaria lumbricalis","Red seaweed","Macrophytes","LC - Least Concern"
14,2013,"Fucus vesiculosus","Bladder wrack","Macrophytes","LC - Least Concern"
14,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
14,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
14,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
15,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
15,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
15,2013,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
15,2007,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
15,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
15,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
15,2013,"Perca fluviatilis","Perch","Fish and Lamprey","LC - Least Concern"
15,2007,"Perca fluviatilis","Perch","Fish and Lamprey","LC - Least Concern"
15,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
15,2013,"Halichoerus grypus","grey seal / gray seal","Mammals","LC - Least Concern"
15,2013,"Lutra lutra","European otter / Euraisan otter","Mammals","NT - Near Threatened"
15,2013,"Phoca vitulina vitulina","harbour seal / common seal","Mammals","LC - Least Concern"
15,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
15,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
15,2013,"Clangula hyemalis","Long-tailed duck","Birds","EN - Endangered"
15,2013,"Sterna hirundo","Common tern","Birds","LC - Least Concern"
15,2013,"Larus canus","Common gull","Birds","LC - Least Concern"
15,2013,"Gavia stellata","Red-throated diver","Birds","CR - Critically Endangered"
15,2013,"Gavia arctica","Black-throated diver","Birds","CR - Critically Endangered"
15,2013,"Cygnus olor","Mute swan","Birds","LC - Least Concern"
15,2013,"Anser anser","Goose","Birds","LC - Least Concern"
15,2013,"Mergus merganser","Common merganser","Birds","LC - Least Concern"
15,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
15,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
15,2013,"Saduria entomon","Crustacean","Benthic Invertebrates","LC - Least Concern"
15,2013,"Furcellaria lumbricalis","Red seaweed","Macrophytes","LC - Least Concern"
15,2013,"Fucus vesiculosus","Bladder wrack","Macrophytes","LC - Least Concern"
15,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
