"region_id","score","dimension","matrix","scen_year"
"BHI-005",NA,"status","sed",2020
"BHI-006",NA,"status","bio",2020
"BHI-006",NA,"status","sed",2020
"BHI-007",NA,"status","bio",2020
"BHI-008",NA,"status","bio",2020
"BHI-009",NA,"status","bio",2020
"BHI-010",NA,"status","bio",2020
"BHI-018",NA,"status","bio",2020
"BHI-019",NA,"status","bio",2020
"BHI-039",NA,"status","sed",2020
"BHI-040",NA,"status","sed",2020
"BHI-043",NA,"status","bio",2020
"BHI-043",NA,"status","sed",2020
"BHI-007",-14.4763261960679,"trend","sed",2020
"BHI-008",-14.4763261960679,"trend","sed",2020
"BHI-009",3.44592848583103,"trend","sed",2020
"BHI-010",3.44592848583103,"trend","sed",2020
"BHI-011",0.0257072064393946,"trend","bio",2020
"BHI-012",0.0257072064393946,"trend","bio",2020
"BHI-013",0.0257072064393946,"trend","bio",2020
"BHI-011",-0.269673692492418,"trend","sed",2020
"BHI-012",-0.269673692492418,"trend","sed",2020
"BHI-013",-0.269673692492418,"trend","sed",2020
"BHI-014",0.020327768314382,"trend","bio",2020
"BHI-015",0.020327768314382,"trend","bio",2020
"BHI-016",0.020327768314382,"trend","bio",2020
"BHI-017",0.020327768314382,"trend","bio",2020
"BHI-014",-7.54637063789925,"trend","sed",2020
"BHI-015",-7.54637063789925,"trend","sed",2020
"BHI-016",-7.54637063789925,"trend","sed",2020
"BHI-017",-7.54637063789925,"trend","sed",2020
"BHI-020",0.00491077441077367,"trend","bio",2020
"BHI-021",0.00491077441077367,"trend","bio",2020
"BHI-022",0.00491077441077367,"trend","bio",2020
"BHI-023",0.00491077441077367,"trend","bio",2020
"BHI-024",0.00491077441077367,"trend","bio",2020
"BHI-025",0.00491077441077367,"trend","bio",2020
"BHI-020",-3.5844647696477,"trend","sed",2020
"BHI-021",-3.5844647696477,"trend","sed",2020
"BHI-022",-3.5844647696477,"trend","sed",2020
"BHI-023",-3.5844647696477,"trend","sed",2020
"BHI-024",-3.5844647696477,"trend","sed",2020
"BHI-025",-3.5844647696477,"trend","sed",2020
"BHI-029",0.00241025772328503,"trend","bio",2020
"BHI-030",0.00241025772328503,"trend","bio",2020
"BHI-031",0.00241025772328503,"trend","bio",2020
"BHI-032",-0.0229181240916111,"trend","bio",2020
"BHI-033",-0.0229181240916111,"trend","bio",2020
"BHI-034",-0.0229181240916111,"trend","bio",2020
"BHI-037",0.020418267065124,"trend","bio",2020
"BHI-038",0.020418267065124,"trend","bio",2020
"BHI-041",-0.0161037076635505,"trend","bio",2020
"BHI-042",-0.0161037076635505,"trend","bio",2020
"BHI-001",NA,"trend","bio",2020
"BHI-001",NA,"trend","sed",2020
"BHI-002",NA,"trend","bio",2020
"BHI-002",NA,"trend","sed",2020
"BHI-003",NA,"trend","bio",2020
"BHI-003",NA,"trend","sed",2020
"BHI-005",NA,"trend","bio",2020
"BHI-005",NA,"trend","sed",2020
"BHI-006",NA,"trend","bio",2020
"BHI-006",NA,"trend","sed",2020
"BHI-007",NA,"trend","bio",2020
"BHI-008",NA,"trend","bio",2020
"BHI-009",NA,"trend","bio",2020
"BHI-010",NA,"trend","bio",2020
"BHI-018",NA,"trend","bio",2020
"BHI-018",NA,"trend","sed",2020
"BHI-019",NA,"trend","bio",2020
"BHI-019",NA,"trend","sed",2020
"BHI-026",NA,"trend","bio",2020
"BHI-026",NA,"trend","sed",2020
"BHI-027",NA,"trend","bio",2020
"BHI-027",NA,"trend","sed",2020
"BHI-028",NA,"trend","bio",2020
"BHI-028",NA,"trend","sed",2020
"BHI-029",NA,"trend","sed",2020
"BHI-030",NA,"trend","sed",2020
"BHI-031",NA,"trend","sed",2020
"BHI-032",NA,"trend","sed",2020
"BHI-033",NA,"trend","sed",2020
"BHI-034",NA,"trend","sed",2020
"BHI-035",NA,"trend","bio",2020
"BHI-035",NA,"trend","sed",2020
"BHI-036",NA,"trend","bio",2020
"BHI-036",NA,"trend","sed",2020
"BHI-037",NA,"trend","sed",2020
"BHI-038",NA,"trend","sed",2020
"BHI-039",NA,"trend","bio",2020
"BHI-039",NA,"trend","sed",2020
"BHI-040",NA,"trend","bio",2020
"BHI-040",NA,"trend","sed",2020
"BHI-041",NA,"trend","sed",2020
"BHI-042",NA,"trend","sed",2020
"BHI-043",NA,"trend","bio",2020
"BHI-043",NA,"trend","sed",2020
"region_id","score","dimension","matrix","scen_year"
"BHI-001",1,"status","combined",2020
"BHI-002",1,"status","combined",2020
"BHI-007",0.329119481544412,"status","combined",2020
"BHI-008",0.329119481544412,"status","combined",2020
"BHI-009",0.744646875839062,"status","combined",2020
"BHI-010",0.744646875839062,"status","combined",2020
"BHI-011",0.867564192476222,"status","combined",2020
"BHI-012",0.867564192476222,"status","combined",2020
"BHI-013",0.867564192476222,"status","combined",2020
"BHI-014",0.720684826896478,"status","combined",2020
"BHI-015",0.720684826896478,"status","combined",2020
"BHI-016",0.720684826896478,"status","combined",2020
"BHI-017",0.720684826896478,"status","combined",2020
"BHI-018",0.191045964917012,"status","combined",2020
"BHI-019",0.191045964917012,"status","combined",2020
"BHI-020",0.815907805980639,"status","combined",2020
"BHI-021",0.815907805980639,"status","combined",2020
"BHI-022",0.815907805980639,"status","combined",2020
"BHI-023",0.815907805980639,"status","combined",2020
"BHI-024",0.815907805980639,"status","combined",2020
"BHI-025",0.815907805980639,"status","combined",2020
"BHI-026",0.986245880102335,"status","combined",2020
"BHI-027",1,"status","combined",2020
"BHI-028",1,"status","combined",2020
"BHI-029",0.974183371061754,"status","combined",2020
"BHI-030",0.974183371061754,"status","combined",2020
"BHI-031",0.974183371061754,"status","combined",2020
"BHI-032",1,"status","combined",2020
"BHI-033",1,"status","combined",2020
"BHI-034",1,"status","combined",2020
"BHI-035",1,"status","combined",2020
"BHI-036",1,"status","combined",2020
"BHI-037",1,"status","combined",2020
"BHI-038",1,"status","combined",2020
"BHI-039",1,"status","combined",2020
"BHI-040",1,"status","combined",2020
"BHI-041",1,"status","combined",2020
"BHI-042",1,"status","combined",2020
"BHI-003",NA,"status","combined",2020
"BHI-005",NA,"status","combined",2020
"BHI-006",NA,"status","combined",2020
"BHI-043",NA,"status","combined",2020
"BHI-007",-1,"trend","combined",2020
"BHI-008",-1,"trend","combined",2020
"BHI-009",1,"trend","combined",2020
"BHI-010",1,"trend","combined",2020
"BHI-011",-0.122,"trend","combined",2020
"BHI-012",-0.122,"trend","combined",2020
"BHI-013",-0.122,"trend","combined",2020
"BHI-014",-1,"trend","combined",2020
"BHI-015",-1,"trend","combined",2020
"BHI-016",-1,"trend","combined",2020
"BHI-017",-1,"trend","combined",2020
"BHI-020",-1,"trend","combined",2020
"BHI-021",-1,"trend","combined",2020
"BHI-022",-1,"trend","combined",2020
"BHI-023",-1,"trend","combined",2020
"BHI-024",-1,"trend","combined",2020
"BHI-025",-1,"trend","combined",2020
"BHI-029",0.002,"trend","combined",2020
"BHI-030",0.002,"trend","combined",2020
"BHI-031",0.002,"trend","combined",2020
"BHI-032",-0.023,"trend","combined",2020
"BHI-033",-0.023,"trend","combined",2020
"BHI-034",-0.023,"trend","combined",2020
"BHI-037",0.02,"trend","combined",2020
"BHI-038",0.02,"trend","combined",2020
"BHI-041",-0.016,"trend","combined",2020
"BHI-042",-0.016,"trend","combined",2020
"BHI-001",NA,"trend","combined",2020
"BHI-002",NA,"trend","combined",2020
"BHI-003",NA,"trend","combined",2020
"BHI-005",NA,"trend","combined",2020
"BHI-006",NA,"trend","combined",2020
"BHI-018",NA,"trend","combined",2020
"BHI-019",NA,"trend","combined",2020
"BHI-026",NA,"trend","combined",2020
"BHI-027",NA,"trend","combined",2020
"BHI-028",NA,"trend","combined",2020
"BHI-035",NA,"trend","combined",2020
"BHI-036",NA,"trend","combined",2020
"BHI-039",NA,"trend","combined",2020
"BHI-040",NA,"trend","combined",2020
"BHI-043",NA,"trend","combined",2020
"BHI-001",1,"status","bio",2020
"BHI-002",1,"status","bio",2020
"BHI-001",1,"status","sed",2020
"BHI-002",1,"status","sed",2020
"BHI-007",0.329119481544412,"status","sed",2020
"BHI-008",0.329119481544412,"status","sed",2020
"BHI-009",0.744646875839062,"status","sed",2020
"BHI-010",0.744646875839062,"status","sed",2020
"BHI-011",1,"status","bio",2020
"BHI-012",1,"status","bio",2020
"BHI-013",1,"status","bio",2020
"BHI-011",0.735128384952445,"status","sed",2020
"BHI-012",0.735128384952445,"status","sed",2020
"BHI-013",0.735128384952445,"status","sed",2020
"BHI-014",1,"status","bio",2020
"BHI-015",1,"status","bio",2020
"BHI-016",1,"status","bio",2020
"BHI-017",1,"status","bio",2020
"BHI-014",0.441369653792955,"status","sed",2020
"BHI-015",0.441369653792955,"status","sed",2020
"BHI-016",0.441369653792955,"status","sed",2020
"BHI-017",0.441369653792955,"status","sed",2020
"BHI-018",0.191045964917012,"status","sed",2020
"BHI-019",0.191045964917012,"status","sed",2020
"BHI-020",1,"status","bio",2020
"BHI-021",1,"status","bio",2020
"BHI-022",1,"status","bio",2020
"BHI-023",1,"status","bio",2020
"BHI-024",1,"status","bio",2020
"BHI-025",1,"status","bio",2020
"BHI-020",0.631815611961278,"status","sed",2020
"BHI-021",0.631815611961278,"status","sed",2020
"BHI-022",0.631815611961278,"status","sed",2020
"BHI-023",0.631815611961278,"status","sed",2020
"BHI-024",0.631815611961278,"status","sed",2020
"BHI-025",0.631815611961278,"status","sed",2020
"BHI-026",1,"status","bio",2020
"BHI-026",0.97249176020467,"status","sed",2020
"BHI-027",1,"status","bio",2020
"BHI-028",1,"status","bio",2020
"BHI-027",1,"status","sed",2020
"BHI-028",1,"status","sed",2020
"BHI-029",1,"status","bio",2020
"BHI-030",1,"status","bio",2020
"BHI-031",1,"status","bio",2020
"BHI-029",0.948366742123509,"status","sed",2020
"BHI-030",0.948366742123509,"status","sed",2020
"BHI-031",0.948366742123509,"status","sed",2020
"BHI-032",1,"status","bio",2020
"BHI-033",1,"status","bio",2020
"BHI-034",1,"status","bio",2020
"BHI-032",1,"status","sed",2020
"BHI-033",1,"status","sed",2020
"BHI-034",1,"status","sed",2020
"BHI-035",1,"status","bio",2020
"BHI-036",1,"status","bio",2020
"BHI-035",1,"status","sed",2020
"BHI-036",1,"status","sed",2020
"BHI-037",1,"status","bio",2020
"BHI-038",1,"status","bio",2020
"BHI-037",1,"status","sed",2020
"BHI-038",1,"status","sed",2020
"BHI-039",1,"status","bio",2020
"BHI-040",1,"status","bio",2020
"BHI-041",1,"status","bio",2020
"BHI-042",1,"status","bio",2020
"BHI-041",1,"status","sed",2020
"BHI-042",1,"status","sed",2020
"BHI-003",NA,"status","bio",2020
"BHI-003",NA,"status","sed",2020
"BHI-005",NA,"status","bio",2020
"BHI-005",NA,"status","sed",2020
"BHI-006",NA,"status","bio",2020
"BHI-006",NA,"status","sed",2020
"BHI-007",NA,"status","bio",2020
"BHI-008",NA,"status","bio",2020
"BHI-009",NA,"status","bio",2020
"BHI-010",NA,"status","bio",2020
"BHI-018",NA,"status","bio",2020
"BHI-019",NA,"status","bio",2020
"BHI-039",NA,"status","sed",2020
"BHI-040",NA,"status","sed",2020
"BHI-043",NA,"status","bio",2020
"BHI-043",NA,"status","sed",2020
"BHI-007",-14.4763261960679,"trend","sed",2020
"BHI-008",-14.4763261960679,"trend","sed",2020
"BHI-009",3.44592848583103,"trend","sed",2020
"BHI-010",3.44592848583103,"trend","sed",2020
"BHI-011",0.0257072064393946,"trend","bio",2020
"BHI-012",0.0257072064393946,"trend","bio",2020
"BHI-013",0.0257072064393946,"trend","bio",2020
"BHI-011",-0.269673692492418,"trend","sed",2020
"BHI-012",-0.269673692492418,"trend","sed",2020
"BHI-013",-0.269673692492418,"trend","sed",2020
"BHI-014",0.020327768314382,"trend","bio",2020
"BHI-015",0.020327768314382,"trend","bio",2020
"BHI-016",0.020327768314382,"trend","bio",2020
"BHI-017",0.020327768314382,"trend","bio",2020
"BHI-014",-7.54637063789925,"trend","sed",2020
"BHI-015",-7.54637063789925,"trend","sed",2020
"BHI-016",-7.54637063789925,"trend","sed",2020
"BHI-017",-7.54637063789925,"trend","sed",2020
"BHI-020",0.00491077441077367,"trend","bio",2020
"BHI-021",0.00491077441077367,"trend","bio",2020
"BHI-022",0.00491077441077367,"trend","bio",2020
"BHI-023",0.00491077441077367,"trend","bio",2020
"BHI-024",0.00491077441077367,"trend","bio",2020
"BHI-025",0.00491077441077367,"trend","bio",2020
"BHI-020",-3.5844647696477,"trend","sed",2020
"BHI-021",-3.5844647696477,"trend","sed",2020
"BHI-022",-3.5844647696477,"trend","sed",2020
"BHI-023",-3.5844647696477,"trend","sed",2020
